PARSED_DATE,BRONX,BROOKLYN,MANHATTAN,QUEENS,STATEN ISLAND
2014-07-02,56,153,144,122,20
2014-07-03,63,198,131,123,28
2014-07-04,39,82,65,72,14
2014-07-05,60,126,78,102,15
2014-07-06,44,96,79,100,15
2014-07-07,67,143,117,121,24
2014-07-08,50,135,128,127,23
2014-07-09,64,132,106,107,22
2014-07-10,46,142,122,111,24
2014-07-11,60,148,123,126,18
2014-07-12,67,126,96,107,17
2014-07-13,50,99,99,77,7
2014-07-14,58,117,116,126,18
2014-07-15,46,128,126,119,12
2014-07-16,59,127,119,96,16
2014-07-17,50,133,150,113,22
2014-07-18,48,147,132,115,11
2014-07-19,39,102,102,103,15
2014-07-20,45,113,67,91,9
2014-07-21,46,129,110,118,15
2014-07-22,59,152,120,112,14
2014-07-23,53,135,125,113,22
2014-07-24,57,118,122,101,20
2014-07-25,73,146,127,119,21
2014-07-26,57,120,101,106,10
2014-07-27,50,104,90,99,11
2014-07-28,42,147,116,124,15
2014-07-29,50,136,102,104,16
2014-07-30,49,133,130,128,16
2014-07-31,50,148,146,113,21
2014-08-01,57,159,162,125,23
2014-08-02,49,110,106,97,19
2014-08-03,40,123,95,82,11
2014-08-04,59,125,99,133,27
2014-08-05,47,149,126,116,20
2014-08-06,55,120,116,117,15
2014-08-07,58,137,133,100,14
2014-08-08,54,140,124,124,22
2014-08-09,54,108,106,116,12
2014-08-10,42,101,99,116,15
2014-08-11,48,153,118,127,22
2014-08-12,41,110,101,104,24
2014-08-13,59,139,119,120,13
2014-08-14,61,145,144,107,20
2014-08-15,54,102,100,101,20
2014-08-16,44,112,106,98,10
2014-08-17,41,126,90,89,10
2014-08-18,56,150,118,122,12
2014-08-19,51,123,109,86,9
2014-08-20,54,117,111,121,18
2014-08-21,45,125,125,96,18
2014-08-22,61,122,142,85,10
2014-08-23,52,91,109,89,9
2014-08-24,42,98,76,91,11
2014-08-25,47,121,102,117,16
2014-08-26,66,137,126,138,22
2014-08-27,53,127,103,95,15
2014-08-28,57,133,145,107,15
2014-08-29,56,153,103,137,21
2014-08-30,55,122,88,110,12
2014-08-31,52,127,83,91,20
2014-09-01,35,128,59,80,10
2014-09-02,69,189,122,116,21
2014-09-03,64,125,117,97,24
2014-09-04,69,178,130,149,22
2014-09-05,58,143,133,140,29
2014-09-06,53,134,114,123,14
2014-09-07,53,115,91,88,5
2014-09-08,64,160,104,125,20
2014-09-09,50,137,125,116,16
2014-09-10,65,132,119,116,17
2014-09-11,49,138,124,128,27
2014-09-12,71,172,133,157,22
2014-09-13,50,127,109,103,22
2014-09-14,49,121,99,112,18
2014-09-15,59,154,108,119,22
