Bucketed Score,Intersection,Lat,Long,Score,Accidents,Traffic
9.0,2nd Avenue & East 126th Street,40.8034314,-73.9330787,49.91,26,5209
9.0,Frederick Douglass Boulevard & West 145th Street,40.8228413,-73.9419205,49.71,51,10259
9.0,Seaman Avenue,40.8709698,-73.9192622,49.67,3,604
9.0,Broadway & West 180th Street,40.849541,-73.936397,49.36,17,3444
9.0,Market Slip,40.7100939,-73.9941033,49.02,1,204
9.0,Malcolm X Boulevard & West 129th Street,40.8102846,-73.9435449,48.92,22,4497
9.0,Sherman Avenue & West 204th Street,40.8651,-73.921884,48.82,13,2663
9.0,Edgecombe Avenue & West 163rd Street,40.83569,-73.937383,48.74,6,1231
9.0,2nd Avenue & East 117th Street,40.7976795,-73.9372797,48.38,10,2067
9.0,Amsterdam Avenue,40.8220613,-73.9499097,48.31,7,1449
9.0,Wadsworth Avenue & West 183rd Street,40.851021,-73.934098,48.08,5,1040
9.0,Adam Clayton Powell Jr. Boulevard & West 142nd Street,40.8196905,-73.9404039,47.81,13,2719
9.0,Bennett Avenue & West 190th Street,40.856783,-73.933681,47.62,2,420
