Bucketed Score,Intersection,Lat,Long,Raw Score,# Accidents,Traffic
10.0,Amsterdam Avenue & West 162nd Street,40.8358221,-73.9398835,0.0066,7,1057
10.0,Amsterdam Avenue & West 145th Street,40.8252298,-73.947602,0.0066,33,5034
10.0,Saint Nicholas Avenue & West 183rd Street,40.850506,-73.932861,0.0065,8,1222
10.0,Bennett Avenue & Overlook Terrace,40.852339,-73.935716,0.0065,6,918
10.0,Malcolm X Boulevard & West 133rd Street,40.8127828,-73.9417258,0.0065,17,2607
10.0,Riverside Drive,40.832697,-73.949714,0.0065,7,1084
10.0,Canal Street & Forsyth Street,40.7156085,-73.9942713,0.0063,15,2370
10.0,Malcolm X Boulevard & West 126th Street,40.8084812,-73.945077,0.0063,17,2705
10.0,5th Avenue & East 130th Street,40.809582,-73.939949,0.0062,8,1280
10.0,Frederick Douglass Boulevard & West 141st Street,40.8202938,-73.9437782,0.0062,10,1603
10.0,Park Avenue,40.8116933,-73.9348845,0.0062,3,482
10.0,Baruch Place & Delancey Street,40.7156953,-73.9780783,0.0062,2,322
10.0,Audubon Avenue & West 183rd Street,40.849921,-73.931472,0.0062,5,812
10.0,Saint Nicholas Avenue & West 150th Street,40.8273441,-73.9427817,0.0061,5,816
10.0,Adam Clayton Powell Jr. Boulevard & West 131st Street,40.8127201,-73.9455002,0.0061,14,2290
9.0,Amsterdam Avenue & Hamilton Place,40.8245499,-73.9480922,0.0061,8,1309
9.0,Adam Clayton Powell Jr. Boulevard & West 137th Street,40.8165703,-73.9426963,0.0061,7,1146
9.0,Adam Clayton Powell Jr. Boulevard & West 143rd Street,40.8203745,-73.9400971,0.0061,2,329
9.0,Water Street,40.7097946,-73.9960795,0.0061,2,329
9.0,Adam Clayton Powell Jr. Boulevard & West 136th Street,40.8159502,-73.9431458,0.0061,9,1481
9.0,Park Terrace East & West 215th Street,40.8701354,-73.9170165,0.006,1,166
9.0,N/A,40.8034229,-73.9306808,0.006,1,167
9.0,West 127th Street,40.812316,-73.952228,0.006,10,1671
9.0,East 124th Street & Lexington Avenue,40.803699,-73.937914,0.0059,18,3044
9.0,Audubon Avenue & West 170th Street,40.841679,-73.937494,0.0059,4,677
9.0,Broadway & West 181st Street,40.8501764,-73.9357231,0.0059,19,3223
9.0,Malcolm X Boulevard & West 113th Street,40.800066,-73.9510418,0.0059,6,1019
9.0,Broadway & West 149th Street,40.8289444,-73.9485501,0.0059,14,2383
9.0,Broadway & West 145th Street,40.8264178,-73.9503944,0.0059,27,4598
9.0,East 131st Street & Madison Avenue,40.8095224,-73.9378749,0.0059,10,1703
9.0,Broadway & West 187th Street,40.8541572,-73.9337034,0.0059,10,1706
9.0,Broadway,40.8650857,-73.9281099,0.0059,8,1365
9.0,Morningside Avenue & West 124th Street,40.810687,-73.954513,0.0058,3,516
9.0,Malcolm X Boulevard & West 141st Street,40.8178749,-73.9380263,0.0058,9,1552
9.0,2nd Avenue & East 126th Street,40.8034314,-73.9330787,0.0058,30,5209
9.0,Henry Street & Market Street,40.713021,-73.994459,0.0057,13,2284
